Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
black-leather-bag,Black Leather Bag,"<p>Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand.</p>",partners-demo,,"",women,true,Title,Default Title,,,,,"",0.0,shopify,20,deny,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/0592/0990/8360/products/black-bag-over-the-shoulder_925x_d4db7ef6-7c96-4911-b14b-330d4cfefe74.jpg?v=1660454872,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
blue-silk-tuxedo,Blue Silk Tuxedo,<p>Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.</p>,partners-demo,,"",men,true,Title,Default Title,,,,,"",0.0,shopify,1,deny,manual,70.00,,true,true,"",https://cdn.shopify.com/s/files/1/0592/0990/8360/products/man-adjusts-blue-tuxedo-bowtie_925x_7e0d2935-b4c2-48f2-9f09-4bde1fed5f8a.jpg?v=1660454882,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
chequered-red-shirt,Chequered Red Shirt,"<p>Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.</p>",partners-demo,,"",men,true,Title,Default Title,,,,,,0.0,,1,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/red-plaid-shirt_925x_e073850c-54c3-42f3-a1d3-1830643316e6.jpg?v=1660454878,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
classic-leather-jacket,Classic Leather Jacket,"<p>Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket.</p>",partners-demo,,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,80.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/leather-jacket-and-tea_925x_7f117231-de94-4d22-88e4-c929a00deb51.jpg?v=1660454867,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
classic-varsity-top,Classic Varsity Top,"<p>Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter.</p>",partners-demo,,"",women,true,Size,Small,,,,,,0.0,,1,deny,manual,60.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/casual-fashion-woman_925x_b4dddc2f-776f-4631-83fd-1e34c1cf7494.jpg?v=1660454861,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
classic-varsity-top,,,,,,,,,Medium,,,,,,0.0,,1,deny,manual,60.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
classic-varsity-top,,,,,,,,,Large,,,,,,0.0,,1,deny,manual,60.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
dark-denim-top,Dark Denim Top,"<p>Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.</p>",partners-demo,,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,60.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/young-female-models-denim_925x_a31e50d4-5582-4180-ab83-eb593b624586.jpg?v=1660454868,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
floral-white-top,Floral White Top,<p>Stylish sleeveless white top with a floral pattern.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,75.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/city-woman-fashion_925x_2x_7aa935f5-a8ff-41af-98ff-8826de6b7b71.jpg?v=1660454864,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
led-high-tops,LED High Tops,"<p>Black high top shoes with green LED lights in the sole, tied up with laces and a buckle.</p>",partners-demo,,"",men,true,Title,Default Title,,,,,,0.0,,1,deny,manual,80.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/putting-on-your-shoes_925x_a5804bcf-57e8-48ef-bf6d-8d5972b15a95.jpg?v=1660454887,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
longsleeve-cotton-top,Long Sleeve Cotton Top,"<p>Black cotton womens top, with long sleeves, no collar and a thick hem.</p>",partners-demo,,"",women,true,Title,Default Title,,,,,,0.0,,-2,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/woman-outside-brownstone_925x_31c36ba4-ac34-42f2-a91e-9d64ade0aa66.jpg?v=1660454877,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
navy-sport-jacket,Navy Sports Jacket,"<p>Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.</p>",partners-demo,,"",men,true,Title,Default Title,,,,,,0.0,,1,deny,manual,60.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/mens-fall-fashion-jacket_925x_17c5a204-92d0-405c-be44-8e141f33043d.jpg?v=1660454869,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
ocean-blue-shirt,Ocean Blue Shirt,<p>Ocean blue cotton shirt with a narrow collar and buttons down the front and long sleeves. Comfortable fit and tiled kalidoscope patterns.</p>,partners-demo,,"",men,true,Title,Default Title,,,,,,0.0,,1,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/young-man-in-bright-fashion_925x_b39a3e29-02b8-43b7-9c02-e6bbe276095e.jpg?v=1660454859,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
olive-green-jacket,Olive Green Jacket,<p>Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,0.0,,0,deny,manual,65.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/urban-fashion_925x_ba3ec1c3-d708-400a-9d2e-185d5e413608.jpg?v=1660454881,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
red-sports-tee,Red Sports Tee,<p>Women's red sporty t-shirt with colorful details on the sleeves and a small white pocket.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/womens-red-t-shirt_925x_e4b24913-e218-4f44-b91c-8eb74c8af003.jpg?v=1660454884,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
silk-summer-top,Silk Summer Top,<p>Silk womens top with short sleeves and number pattern.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,0.0,,0,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/young-hip-woman-at-carnival_925x_d9748714-0b65-4a50-b03b-ef77890906ee.jpg?v=1660454876,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
dark-winter-jacket,Soft Winter Jacket,"<p>Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.</p>",partners-demo,,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/smiling-woman-on-snowy-afternoon_925x_d01bb37b-73b1-4e40-b083-21bbde7e336b.jpg?v=1660454871,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
striped-silk-blouse,Striped Silk Blouse,<p>Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/striped-blouse-fashion_925x_9f312505-b249-4ced-83a1-5a4d4559e393.jpg?v=1660454865,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
striped-skirt-and-top,Striped Skirt and Top,<p>Black cotton top with matching striped skirt.</p>,partners-demo,,"",women,true,Size,Small,Color,Black,,,"",0.0,shopify,10,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0592/0990/8360/products/woman-in-the-city_925x_070f8bf9-e01e-4dbb-9a07-6d70d69a25ae.jpg?v=1660457589,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
striped-skirt-and-top,,,,,,,,,Small,,Red,,,"",0.0,shopify,2,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/0592/0990/8360/products/ussama-azam-5IcEBmSOQq0-unsplash.jpg?v=1660457592,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/ussama-azam-5IcEBmSOQq0-unsplash.jpg?v=1660457592,kg,,,,,
striped-skirt-and-top,,,,,,,,,Medium,,Black,,,"",0.0,shopify,0,deny,manual,50.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,,,
striped-skirt-and-top,,,,,,,,,Medium,,Red,,,"",0.0,shopify,8,deny,manual,60.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/ussama-azam-5IcEBmSOQq0-unsplash.jpg?v=1660457592,kg,,,,,
striped-skirt-and-top,,,,,,,,,Large,,Black,,,"",0.0,shopify,0,deny,manual,50.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,,,
striped-skirt-and-top,,,,,,,,,Large,,Red,,,"",0.0,shopify,0,deny,manual,60.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/ussama-azam-5IcEBmSOQq0-unsplash.jpg?v=1660457592,kg,,,,,
test,test,",jhbjhgljkhlkj",partners-demo,,"","",true,Title,Default Title,,,,,"",0.0,shopify,10,deny,manual,100.00,,true,true,"",https://cdn.shopify.com/s/files/1/0592/0990/8360/products/Optimized-ussama-azam-xgNSlx7DjYM-unsplash.jpg?v=1664796036,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
white-cotton-shirt,White Cotton Shirt,<p>Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,0.0,,-3,deny,manual,30.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/smiling-woman-poses_925x_a969dc76-3da0-4ef4-8784-5bc75a5cb6b1.jpg?v=1660454880,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
yellow-wool-jumper,Yellow Wool Jumper,<p>Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall.</p>,partners-demo,,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,80.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/autumn-photographer-taking-picture_925x_521a2bfa-a104-4cb6-a12a-00989d185145.jpg?v=1660454862,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
zipped-jacket,Zipped Jacket,<p>Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.</p>,partners-demo,,"",men,true,Title,Default Title,,,,,,0.0,,1,deny,manual,65.00,,true,true,,https://cdn.shopify.com/s/files/1/0592/0990/8360/products/menswear-blue-zip-up-jacket_925x_e3feb594-657d-44d8-a29f-0dae0de0ac9a.jpg?v=1660454874,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
